t # 0
v shl shl
v pushl pushl
v jbe jbe
v lea lea
v pop pop
v jg jg
v cmove cmove
v je je
v addl addl
v jne jne
v cmovne cmovne
v leave leave
v xor xor
v rep rep
v call call
v ret ret
v jb jb
v sub sub
v and and
v jl jl
v movl movl
v ja ja
v cmpb cmpb
v movzbl movzbl
v seta seta
v orl orl
v jmp jmp
v cmpl cmpl
v setne setne
v add add
v test test
v sbb sbb
v mov mov
v xchg xchg
v sete sete
v nop nop
v repz repz
v jle jle
v cmp cmp
v movb movb
v push push
e xor mov 0.2727272727272727
e cmove mov 0.5
e ret mov 0.20833333333333334
e call lea 0.04054054054054054
e and push 0.3333333333333333
e call push 0.006756756756756757
e call xor 0.006756756756756757
e push push 0.07692307692307693
e movl je 0.00904977375565611
e xchg mov 0.3333333333333333
e jl mov 1.0
e call cmp 0.04054054054054054
e ja mov 0.6666666666666666
e call call 0.006756756756756757
e movl mov 0.26244343891402716
e cmp jg 0.125
e call nop 0.006756756756756757
e jne mov 0.5294117647058824
e jmp xchg 0.038834951456310676
e je lea 0.06896551724137931
e test jne 0.10144927536231885
e sub and 0.02564102564102564
e leave ret 0.5
e cmp cmove 0.0625
e movb mov 0.15384615384615385
e test jle 0.014492753623188406
e lea lea 0.03225806451612903
e sub leave 0.1282051282051282
e call mov 0.38513513513513514
e call add 0.02027027027027027
e call movl 0.12162162162162163
e repz movl 0.5
e cmp je 0.3125
e sete movl 1.0
e js lea 0.5
e nop lea 0.009174311926605505
e call sub 0.06756756756756757
e mov mov 0.4124293785310734
e leave jmp 0.5
e js mov 0.5
e test js 0.028985507246376812
e pop pop 0.45714285714285713
e sub movl 0.1282051282051282
e add pushl 0.08333333333333333
e test je 0.5217391304347826
e push mov 0.8205128205128205
e rep lea 0.5
e add add 0.08333333333333333
e setne movzbl 1.0
e repz je 0.5
e pop ret 0.5142857142857142
e test lea 0.014492753623188406
e test mov 0.2898550724637681
e test movl 0.014492753623188406
e movw add 0.25
e and jne 0.3333333333333333
e add mov 0.5
e ret lea 0.2916666666666667
e jmp mov 0.14563106796116504
e movl movl 0.502262443438914
e movl jmp 0.00904977375565611
e and movl 0.3333333333333333
e jmp lea 0.22330097087378642
e cmp mov 0.3125
e call leave 0.02027027027027027
e jmp jmp 0.009708737864077669
e nop mov 0.0045871559633027525
e add lea 0.08333333333333333
e pop mov 0.02857142857142857
e test sete 0.014492753623188406
e orl jmp 1.0
e xor cmp 0.09090909090909091
e jmp nop 0.5145631067961165
e movb movl 0.8461538461538461
e jbe mov 1.0
e call jmp 0.07432432432432433
e rep mov 0.5
e je mov 0.7068965517241379
t # 2
v movswl movswl
v jbe jbe
v lea lea
v pop pop
v je je
v addl addl
v jne jne
v movw movw
v leave leave
v xor xor
v call call
v rep rep
v ret ret
v and and
v sub sub
v jl jl
v movl movl
v ja ja
v cmpb cmpb
v movzbl movzbl
v jmp jmp
v cmpl cmpl
v setne setne
v add add
v test test
v cmpw cmpw
v mov mov
v xchg xchg
v sete sete
v nop nop
v repz repz
v jle jle
v cmp cmp
v movb movb
v push push
e movl je 0.012195121951219513
e call lea 0.046511627906976744
e call jmp 0.06976744186046512
e lea lea 0.08163265306122448
e and add 0.5
e ja jmp 0.3333333333333333
e push mov 0.7333333333333333
e movb mov 0.2
e xor jmp 0.07142857142857142
e cmpb je 0.2
e test sete 0.01694915254237288
e xor xor 0.14285714285714285
e cmpb setne 0.2
e jne mov 0.3
e cmp jne 0.23809523809523808
e je lea 0.017857142857142856
e and movl 0.25
e movl mov 0.3048780487804878
e and push 0.25
e add jmp 0.045454545454545456
e call call 0.007751937984496124
e setne movzbl 0.5
e ret mov 0.10526315789473684
e nop lea 0.013636363636363636
e je mov 0.5
e setne add 0.5
e repz jne 1.0
e movw jmp 0.3333333333333333
e ret lea 0.2631578947368421
e movl jne 0.006097560975609756
e xor movl 0.21428571428571427
e xchg xchg 0.6
e cmpl mov 0.5
e call sub 0.14728682170542637
e push push 0.13333333333333333
e addl cmp 1.0
e call cmp 0.015503875968992248
e test nop 0.01694915254237288
e movb call 0.1
e movb movl 0.2
e xchg mov 0.2
e call nop 0.015503875968992248
e leave ret 0.5
e add add 0.22727272727272727
e cmp jle 0.047619047619047616
e ja cmpw 0.3333333333333333
e sub mov 0.2727272727272727
e pop mov 0.03225806451612903
e jbe jmp 0.3333333333333333
e jne lea 0.15
e ja jne 0.3333333333333333
e call xor 0.015503875968992248
e jle mov 0.6
e cmp mov 0.09523809523809523
e cmpl je 0.5
e test mov 0.288135593220339
e movb add 0.1
e test je 0.5084745762711864
e leave jmp 0.5
e call leave 0.023255813953488372
e jmp lea 0.16279069767441862
e call add 0.023255813953488372
e test jle 0.01694915254237288
e jmp mov 0.16279069767441862
e pop pop 0.5483870967741935
e pop ret 0.41935483870967744
e jbe movl 0.3333333333333333
e call movzbl 0.007751937984496124
e jmp nop 0.5581395348837209
e movl lea 0.006097560975609756
e rep lea 0.5
e movw movw 0.6666666666666666
e movb movb 0.2
e movb lea 0.1
e jbe mov 0.3333333333333333
e jmp xchg 0.011627906976744186
e call and 0.007751937984496124
e sub and 0.022727272727272728
e call mov 0.40310077519379844
e jl test 1.0
e xor pop 0.07142857142857142
e cmp movzbl 0.047619047619047616
e mov mov 0.3162162162162162
e mov lea 0.024324324324324326
e movl jmp 0.018292682926829267
e movzbl mov 0.3333333333333333
e mov movswl 0.002702702702702703
e movzbl lea 0.1111111111111111
e cmp je 0.3333333333333333
e test jne 0.13559322033898305
e call movl 0.10077519379844961
e test movl 0.01694915254237288
e movb jmp 0.1
e sub movl 0.11363636363636363
e sete cmp 0.5
e sub leave 0.11363636363636363
e movl movl 0.4451219512195122
e movzbl movl 0.1111111111111111
e sete movl 0.5
e add mov 0.36363636363636365
e xor mov 0.35714285714285715
e cmpb jne 0.6
e nop nop 0.7272727272727273
t # 3
v incl incl
v lea lea
v pop pop
v jg jg
v je je
v jne jne
v movsbl movsbl
v leave leave
v xor xor
v call call
v ret ret
v sub sub
v and and
v movl movl
v movzbl movzbl
v jmp jmp
v cmpl cmpl
v setne setne
v add add
v test test
v sbb sbb
v mov mov
v xchg xchg
v sete sete
v nop nop
v cmp cmp
v push push
e pop pop 0.26666666666666666
e ret lea 0.29411764705882354
e call nop 0.04838709677419355
e test jne 0.08695652173913043
e and add 0.5
e call jmp 0.06451612903225806
e push push 0.07142857142857142
e call sub 0.0967741935483871
e xchg xchg 0.7058823529411765
e je jg 0.034482758620689655
e call sbb 0.016129032258064516
e test movl 0.043478260869565216
e sub and 0.037037037037037035
e call mov 0.2903225806451613
e cmpl je 1.0
e mov lea 0.01932367149758454
e call leave 0.06451612903225806
e call cmp 0.06451612903225806
e jmp lea 0.25
e call movl 0.16129032258064516
e sub leave 0.18518518518518517
e movl mov 0.25688073394495414
e nop lea 0.022222222222222223
e movl movl 0.48623853211009177
e pop jmp 0.06666666666666667
e pop ret 0.6666666666666666
e nop nop 0.7555555555555555
e jne mov 0.6666666666666666
e push mov 0.8214285714285714
e movl jmp 0.009174311926605505
e movsbl mov 1.0
e jmp nop 0.6666666666666666
e incl sbb 1.0
e ret mov 0.058823529411764705
e je mov 0.5172413793103449
e test sete 0.043478260869565216
e cmp je 0.7
e and movl 0.5
e add add 0.2
e mov mov 0.3864734299516908
e call call 0.06451612903225806
e test mov 0.17391304347826086
e call cmpl 0.016129032258064516
e add mov 0.4
e movl je 0.01834862385321101
e lea lea 0.03225806451612903
e setne movzbl 1.0
e cmp mov 0.2
e call lea 0.08064516129032258
e sub movl 0.1111111111111111
e sub mov 0.3333333333333333
e jmp mov 0.020833333333333332
e leave ret 0.5384615384615384
e xor mov 0.5
e sete movl 1.0
e call xor 0.016129032258064516
e leave jmp 0.46153846153846156
e cmp jne 0.1
e test je 0.6521739130434783
t # 4
v incl incl
v lea lea
v pop pop
v jg jg
v je je
v imul imul
v jne jne
v movw movw
v divl divl
v shr shr
v movsbl movsbl
v leave leave
v xor xor
v call call
v rep rep
v subl subl
v ret ret
v sub sub
v and and
v movl movl
v jl jl
v movzbl movzbl
v jae jae
v jmp jmp
v setne setne
v add add
v test test
v sar sar
v cmovle cmovle
v mov mov
v xchg xchg
v idivl idivl
v sete sete
v nop nop
v jle jle
v cmp cmp
v movb movb
v push push
e xchg xchg 0.5454545454545454
e pop mov 0.045454545454545456
e movl jmp 0.007042253521126761
e test jne 0.12903225806451613
e movw mov 0.5
e jne mov 0.5
e movw movl 0.5
e sub mov 0.5283018867924528
e cmovle mov 1.0
e mov imul 0.00641025641025641
e rep lea 0.3333333333333333
e xor mov 0.6
e sar idivl 0.5
e movzbl mov 0.3333333333333333
e test sete 0.03225806451612903
e mov lea 0.016025641025641024
e lea lea 0.03225806451612903
e shr imul 1.0
e call call 0.011111111111111112
e subl jmp 1.0
e and push 0.2
e xchg jne 0.09090909090909091
e movb movl 0.6666666666666666
e mov mov 0.3557692307692308
e test movl 0.03225806451612903
e jmp lea 0.19696969696969696
e je lea 0.06896551724137931
e je mov 0.4827586206896552
e sub leave 0.09433962264150944
e push mov 0.7058823529411765
e call leave 0.044444444444444446
e sar movzbl 0.5
e divl imul 1.0
e ret mov 0.1111111111111111
e movsbl mov 1.0
e test je 0.5483870967741935
e cmp xchg 0.09090909090909091
e call add 0.022222222222222223
e cmp jne 0.09090909090909091
e call xor 0.011111111111111112
e pop ret 0.5
e jae mov 1.0
e test mov 0.1935483870967742
e sub and 0.03773584905660377
e call nop 0.022222222222222223
e leave jmp 0.46153846153846156
e add mov 0.2222222222222222
e nop nop 0.7264150943396226
e ret lea 0.2777777777777778
e jl mov 1.0
e jmp mov 0.045454545454545456
e xor movl 0.2
e cmp jg 0.09090909090909091
e setne movzbl 1.0
e call mov 0.4666666666666667
e movl je 0.014084507042253521
e movl mov 0.3028169014084507
e jmp xchg 0.015151515151515152
e nop lea 0.009433962264150943
e call jmp 0.044444444444444446
e xchg mov 0.09090909090909091
e and shr 0.2
e test jle 0.06451612903225806
e cmp cmovle 0.09090909090909091
e cmp je 0.45454545454545453
e cmp mov 0.09090909090909091
e call cmp 0.011111111111111112
e call sub 0.15555555555555556
e call movl 0.14444444444444443
e and add 0.2
e leave ret 0.5384615384615384
e movl movl 0.47183098591549294
e xor pop 0.1
e jmp nop 0.7121212121212122
e sete movl 1.0
e call lea 0.022222222222222223
e movb mov 0.3333333333333333
e sub movl 0.16981132075471697
e push push 0.14705882352941177
e add add 0.2222222222222222
e add incl 0.1111111111111111
e pop pop 0.45454545454545453
e and movl 0.2
e rep mov 0.3333333333333333
t # 5
v shl shl
v jbe jbe
v lea lea
v pop pop
v jg jg
v je je
v addl addl
v imul imul
v jne jne
v movw movw
v cmovne cmovne
v leave leave
v xor xor
v call call
v ret ret
v jb jb
v sub sub
v and and
v movl movl
v ja ja
v cmpb cmpb
v movzbl movzbl
v orl orl
v jmp jmp
v cmpl cmpl
v setne setne
v add add
v test test
v sbb sbb
v cmpw cmpw
v mov mov
v xchg xchg
v sete sete
v nop nop
v repz repz
v jle jle
v cmp cmp
v movb movb
v push push
e orl sub 0.5
e movw mov 0.5
e call jmp 0.06976744186046512
e jne lea 0.1
e xor and 0.058823529411764705
e nop lea 0.016736401673640166
e jmp lea 0.1875
e call leave 0.01744186046511628
e shl mov 1.0
e movl jmp 0.004694835680751174
e call mov 0.32558139534883723
e test jne 0.21428571428571427
e movb mov 0.6
e movl mov 0.29107981220657275
e add add 0.11764705882352941
e jle lea 1.0
e test jle 0.014285714285714285
e setne movzbl 0.5
e pop pop 0.525
e pop ret 0.425
e repz je 1.0
e and push 0.14285714285714285
e call call 0.029069767441860465
e call add 0.01744186046511628
e je mov 0.53125
e mov lea 0.024608501118568233
e movl movl 0.431924882629108
e ret lea 0.25
e sub jmp 0.140625
e and mov 0.2857142857142857
e push ret 0.023255813953488372
e sub and 0.015625
e call cmp 0.01744186046511628
e xor cmp 0.058823529411764705
e push mov 0.627906976744186
e movl je 0.009389671361502348
e jb sub 0.25
e movb movl 0.2
e movb jmp 0.2
e xchg xchg 0.6666666666666666
e leave ret 0.5
e jbe cmp 0.5
e test mov 0.21428571428571427
e xor movl 0.058823529411764705
e cmp jb 0.15
e orl mov 0.5
e xor pop 0.23529411764705882
e push push 0.18604651162790697
e addl cmpl 1.0
e xor mov 0.11764705882352941
e call sub 0.1744186046511628
e jbe mov 0.5
e ret mov 0.125
e sete movl 1.0
e test sete 0.014285714285714285
e sub leave 0.078125
e cmpb je 0.25
e push lea 0.023255813953488372
e sub add 0.015625
e cmpw je 1.0
e cmpl je 0.75
e cmovne mov 0.6666666666666666
e call xor 0.005813953488372093
e jne mov 0.4
e leave jmp 0.5
e call movl 0.13372093023255813
e and add 0.14285714285714285
e and movl 0.14285714285714285
e cmp nop 0.05
e jmp nop 0.5104166666666666
e lea lea 0.045454545454545456
e add mov 0.23529411764705882
e cmp je 0.45
e add jmp 0.23529411764705882
e cmpb jne 0.25
e sub movl 0.0625
e pop mov 0.05
e cmpl jne 0.25
e je lea 0.0625
e jmp mov 0.13541666666666666
e xor jmp 0.058823529411764705
e call nop 0.011627906976744186
e movl lea 0.004694835680751174
e add je 0.058823529411764705
e sub mov 0.234375
e movw movl 0.5
e nop nop 0.7405857740585774
e mov mov 0.3512304250559284
e test movl 0.014285714285714285
e test setne 0.014285714285714285
e call lea 0.06976744186046512
e cmp mov 0.15
e jmp xchg 0.010416666666666666
e ja mov 0.5
e cmpb cmovne 0.25
e ja sub 0.5
e mov imul 0.0022371364653243847
e test je 0.5142857142857142
e cmpb sbb 0.25
e cmovne movl 0.3333333333333333
e sub lea 0.015625
e jb add 0.5
e cmp jg 0.05
t # 6
v pushl pushl
v jbe jbe
v lea lea
v pop pop
v je je
v addl addl
v jne jne
v movw movw
v leave leave
v xor xor
v call call
v rep rep
v ret ret
v sub sub
v and and
v jl jl
v movl movl
v ja ja
v cmpb cmpb
v movzbl movzbl
v jmp jmp
v cmpl cmpl
v setne setne
v add add
v test test
v mov mov
v xchg xchg
v sete sete
v nop nop
v repz repz
v jle jle
v cmp cmp
v movb movb
v push push
e cmp jne 0.22727272727272727
e sub and 0.022222222222222223
e call sub 0.1826086956521739
e push mov 0.7333333333333333
e call lea 0.017391304347826087
e sub jmp 0.022222222222222223
e movl je 0.013245033112582781
e mov mov 0.3467048710601719
e cmpb je 0.2
e cmp je 0.2727272727272727
e cmpb setne 0.2
e movl mov 0.3443708609271523
e jmp nop 0.5294117647058824
e and movl 0.5
e jbe mov 0.6
e and push 0.5
e test sete 0.02127659574468085
e nop nop 0.7314814814814815
e setne movzbl 0.5
e cmp mov 0.22727272727272727
e call jmp 0.0782608695652174
e ja jne 0.25
e xor lea 0.07692307692307693
e setne add 0.5
e repz jne 1.0
e movw jmp 0.3333333333333333
e pop pop 0.42105263157894735
e call xor 0.02608695652173913
e call movzbl 0.017391304347826087
e add pushl 0.045454545454545456
e ret lea 0.25
e jmp xchg 0.011764705882352941
e jbe movzbl 0.2
e call cmpl 0.008695652173913044
e call leave 0.02608695652173913
e cmpl mov 0.5
e xchg xchg 0.6
e add add 0.13636363636363635
e push push 0.13333333333333333
e ja lea 0.25
e addl cmp 1.0
e movb movb 0.1
e je lea 0.020833333333333332
e movb call 0.1
e movb movl 0.2
e sub leave 0.1111111111111111
e xchg mov 0.2
e leave ret 0.5
e call add 0.02608695652173913
e test je 0.5319148936170213
e movb mov 0.3
e xor jmp 0.15384615384615385
e jmp mov 0.1411764705882353
e lea lea 0.023255813953488372
e test movl 0.02127659574468085
e jne lea 0.1111111111111111
e ret mov 0.0625
e xor mov 0.3076923076923077
e cmpl je 0.5
e call nop 0.017391304347826087
e sub movl 0.15555555555555556
e movb add 0.1
e nop lea 0.023148148148148147
e pop mov 0.05263157894736842
e leave jmp 0.5
e test mov 0.2553191489361702
e jne mov 0.16666666666666666
e xor movl 0.23076923076923078
e add movl 0.09090909090909091
e call cmp 0.017391304347826087
e test jle 0.02127659574468085
e rep lea 0.5
e movw movw 0.6666666666666666
e movb lea 0.1
e movl movl 0.423841059602649
e movl jmp 0.013245033112582781
e mov lea 0.017191977077363897
e jl test 1.0
e jbe lea 0.2
e ja jmp 0.5
e movzbl lea 0.1111111111111111
e xor sub 0.07692307692307693
e movb jmp 0.1
e sete cmp 0.5
e movzbl mov 0.1111111111111111
e je mov 0.5208333333333334
e pop ret 0.5263157894736842
e test jne 0.1276595744680851
e sub mov 0.3111111111111111
e test nop 0.02127659574468085
e call movl 0.12173913043478261
e jmp lea 0.18823529411764706
e movzbl movl 0.1111111111111111
e sete movl 0.5
e add mov 0.36363636363636365
e cmpb jne 0.6
e call mov 0.3565217391304348
t # 7
v pushl pushl
v jbe jbe
v js js
v lea lea
v pop pop
v inc inc
v not not
v cmove cmove
v je je
v jne jne
v leave leave
v xor xor
v call call
v ret ret
v sub sub
v and and
v jl jl
v movl movl
v ja ja
v cmpb cmpb
v movzbl movzbl
v jmp jmp
v cmpl cmpl
v setne setne
v add add
v test test
v or or
v mov mov
v xchg xchg
v sete sete
v nop nop
v repz repz
v jle jle
v cmp cmp
v movb movb
v repnz repnz
v push push
e ret lea 0.2222222222222222
e cmp push 0.1
e xor movl 0.18181818181818182
e movl je 0.007722007722007722
e xchg xchg 0.75
e jne lea 0.09090909090909091
e js mov 1.0
e cmpl mov 0.15384615384615385
e xor cmpl 0.045454545454545456
e call sub 0.07109004739336493
e repz je 0.3333333333333333
e call jmp 0.12796208530805686
e movl mov 0.26640926640926643
e and movl 0.5
e cmpb push 0.4
e jl mov 1.0
e movl jmp 0.015444015444015444
e call lea 0.023696682464454975
e call cmp 0.009478672985781991
e cmpb je 0.4
e call movl 0.11374407582938388
e sub leave 0.11627906976744186
e jmp nop 0.46226415094339623
e movb movl 0.9375
e pop pop 0.42105263157894735
e push jne 0.019230769230769232
e pushl inc 0.5
e call cmpl 0.018957345971563982
e test jle 0.013513513513513514
e cmpl je 0.46153846153846156
e test jne 0.10810810810810811
e movb jmp 0.0625
e add je 0.1
e sub mov 0.3488372093023256
e mov mov 0.3967741935483871
e sub jmp 0.046511627906976744
e call add 0.009478672985781991
e call leave 0.018957345971563982
e ret mov 0.16666666666666666
e ja nop 1.0
e add pushl 0.1
e or repnz 0.3333333333333333
e test je 0.5675675675675675
e movl movl 0.5212355212355212
e jmp lea 0.16981132075471697
e cmp mov 0.2
e nop nop 0.7383966244725738
e cmpl jne 0.15384615384615385
e jbe mov 0.5
e sub and 0.023255813953488372
e push push 0.23076923076923078
e or mov 0.6666666666666666
e and pushl 0.5
e push jmp 0.038461538461538464
e repnz mov 0.8571428571428571
e cmpb jne 0.2
e add add 0.3
e xor repnz 0.09090909090909091
e jbe lea 0.5
e cmpl push 0.15384615384615385
e lea lea 0.016129032258064516
e call nop 0.009478672985781991
e call or 0.009478672985781991
e setne movzbl 1.0
e nop lea 0.02109704641350211
e push mov 0.5384615384615384
e sub movl 0.06976744186046512
e repz jne 0.6666666666666666
e push je 0.057692307692307696
e not lea 0.8333333333333334
e cmp je 0.4
e mov lea 0.020967741935483872
e pop lea 0.05263157894736842
e movzbl mov 0.3333333333333333
e movzbl cmove 0.3333333333333333
e xor or 0.5
e test mov 0.22972972972972974
e xor mov 0.09090909090909091
e test js 0.05405405405405406
e add mov 0.2
e call push 0.018957345971563982
e je mov 0.7323943661971831
e jne mov 0.22727272727272727
e pop ret 0.5263157894736842
e call mov 0.3981042654028436
e call xor 0.014218009478672985
e test sete 0.013513513513513514
e test movl 0.013513513513513514
e cmpl sete 0.07692307692307693
e je lea 0.028169014084507043
e sete movl 0.5
e leave ret 0.5384615384615384
e jmp mov 0.2830188679245283
e leave jmp 0.46153846153846156
t # 8
v js js
v lea lea
v pop pop
v jg jg
v inc inc
v je je
v jne jne
v movw movw
v movsbl movsbl
v leave leave
v xor xor
v call call
v ret ret
v sub sub
v and and
v movl movl
v jl jl
v movzwl movzwl
v movzbl movzbl
v jmp jmp
v setne setne
v add add
v test test
v mov mov
v xchg xchg
v sete sete
v nop nop
v jle jle
v cmp cmp
v push push
e call nop 0.019230769230769232
e call jmp 0.019230769230769232
e push mov 0.6511627906976745
e ret mov 0.06896551724137931
e pop pop 0.44
e ret lea 0.3793103448275862
e jne mov 0.5
e nop mov 0.005235602094240838
e cmp mov 0.15789473684210525
e movw js 0.2
e xor pop 0.75
e call sub 0.0673076923076923
e sub leave 0.14705882352941177
e push push 0.16279069767441862
e pop mov 0.12
e mov lea 0.025179856115107913
e pop ret 0.4
e cmp je 0.5789473684210527
e test mov 0.18518518518518517
e call movl 0.15384615384615385
e jmp nop 0.6739130434782609
e test jne 0.07407407407407407
e leave jmp 0.4375
e pop inc 0.04
e test jle 0.037037037037037035
e movl je 0.013245033112582781
e movl mov 0.2781456953642384
e xchg xchg 0.75
e xor jmp 0.125
e je lea 0.08823529411764706
e test je 0.5925925925925926
e je mov 0.4411764705882353
e lea lea 0.09090909090909091
e call lea 0.04807692307692308
e movw test 0.4
e movsbl mov 1.0
e jl call 1.0
e sub and 0.029411764705882353
e jmp lea 0.2608695652173913
e leave ret 0.5625
e movw movw 0.4
e add movl 0.05555555555555555
e movl jmp 0.006622516556291391
e movl movl 0.4768211920529801
e and movl 0.5
e nop lea 0.010471204188481676
e test movl 0.037037037037037035
e sub movzwl 0.029411764705882353
e and push 0.5
e call pop 0.009615384615384616
e call leave 0.038461538461538464
e setne movzbl 1.0
e cmp jg 0.10526315789473684
e add add 0.16666666666666666
e test sete 0.037037037037037035
e add jmp 0.05555555555555555
e call call 0.07692307692307693
e call add 0.11538461538461539
e js movzwl 1.0
e nop nop 0.7801047120418848
e mov mov 0.35251798561151076
e sub mov 0.4117647058823529
e sete movl 1.0
e call mov 0.3557692307692308
e call cmp 0.07692307692307693
e sub movl 0.08823529411764706
t # 9
v incl incl
v lea lea
v pop pop
v jg jg
v je je
v jne jne
v shr shr
v movsbl movsbl
v leave leave
v xor xor
v call call
v rep rep
v ret ret
v sub sub
v and and
v movl movl
v jl jl
v movzbl movzbl
v jmp jmp
v setne setne
v add add
v test test
v sbb sbb
v sar sar
v mov mov
v xchg xchg
v sete sete
v nop nop
v jle jle
v cmp cmp
v movb movb
v push push
e call jmp 0.09722222222222222
e call nop 0.027777777777777776
e cmp jne 0.26666666666666666
e movzbl mov 0.5
e xor jmp 0.1
e movl jmp 0.008264462809917356
e call lea 0.013888888888888888
e jne mov 0.5555555555555556
e test sete 0.03225806451612903
e sub and 0.037037037037037035
e sub mov 0.2962962962962963
e call cmp 0.041666666666666664
e push mov 0.7419354838709677
e call sub 0.08333333333333333
e add mov 0.3333333333333333
e mov mov 0.341991341991342
e cmp xchg 0.06666666666666667
e mov lea 0.008658008658008658
e jmp lea 0.21428571428571427
e xor movl 0.3
e movl je 0.01652892561983471
e sub leave 0.18518518518518517
e movl movl 0.4793388429752066
e call leave 0.041666666666666664
e test movl 0.03225806451612903
e leave jmp 0.5
e jmp nop 0.625
e xchg mov 0.05555555555555555
e je mov 0.5
e lea lea 0.07142857142857142
e test lea 0.03225806451612903
e call movl 0.1527777777777778
e test jle 0.03225806451612903
e movb mov 0.4
e call add 0.041666666666666664
e movb movl 0.2
e sar shr 0.3333333333333333
e jmp mov 0.05357142857142857
